PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Hreflang links,Hreflang links codes,Hreflang issues,Hreflang group ID,No. of hreflang inlinks,No. of all inlinks
22,https://createmy-qr.com/pricing,"Free QR Code Generator Online - CreateMy-QR (No Signup) | 100% Free Pricing
types.pricing QR Code Generator - Free & Custom | CreateMy-QR
100% Free Pricing | CreateMy-QR",text/html; charset=utf-8,false,200,0,true,"https://createmy-qr.com/ar/pricing
https://createmy-qr.com/ar/saar-mjny-100
https://createmy-qr.com/bn/100-binaamuulye-muuly
https://createmy-qr.com/bn/pricing
https://createmy-qr.com/cs/100-bezplatna-cena
https://createmy-qr.com/cs/pricing
https://createmy-qr.com/da/100-gratis-pris
https://createmy-qr.com/da/pricing
https://createmy-qr.com/de/100-kostenlose-preisgestaltung
https://createmy-qr.com/de/pricing
https://createmy-qr.com/el/100-dorean-timologisi
https://createmy-qr.com/el/pricing
https://createmy-qr.com/es/precios-100-gratuitos
https://createmy-qr.com/es/pricing
https://createmy-qr.com/fi/100-ilmainen-hinnoittelu
https://createmy-qr.com/fi/pricing
https://createmy-qr.com/fr/pricing
https://createmy-qr.com/fr/tarif-100-gratuit
https://createmy-qr.com/hi/100-nihshulk-muuly-nirdhaarnn
https://createmy-qr.com/hi/pricing
https://createmy-qr.com/hu/100-ingyenes-ar
https://createmy-qr.com/hu/pricing
https://createmy-qr.com/id/100-harga-gratis
https://createmy-qr.com/id/pricing
https://createmy-qr.com/it/prezzo-gratuito-al-100
https://createmy-qr.com/it/pricing
https://createmy-qr.com/ja/pricing
https://createmy-qr.com/ja/wan-quan-wu-liao-nojia-ge
https://createmy-qr.com/ko/100-muryo-gagyeog
https://createmy-qr.com/ko/pricing
https://createmy-qr.com/ms/100-harga-percuma
https://createmy-qr.com/ms/pricing
https://createmy-qr.com/nl/100-gratis-prijzen
https://createmy-qr.com/nl/pricing
https://createmy-qr.com/no/100-gratis-priser
https://createmy-qr.com/no/pricing
https://createmy-qr.com/pl/100-darmowe-ceny
https://createmy-qr.com/pl/pricing
https://createmy-qr.com/pricing
https://createmy-qr.com/pricing
https://createmy-qr.com/pt/preco-100-gratuito
https://createmy-qr.com/pt/pricing
https://createmy-qr.com/ro/pret-100-gratuit
https://createmy-qr.com/ro/pricing
https://createmy-qr.com/ru/100-besplatnye-ceny
https://createmy-qr.com/ru/pricing
https://createmy-qr.com/sv/100-gratis-prissattning
https://createmy-qr.com/sv/pricing
https://createmy-qr.com/th/pricing
https://createmy-qr.com/th/raakhaafrii-100
https://createmy-qr.com/tl/100-libreng-pagpepresyo
https://createmy-qr.com/tl/pricing
https://createmy-qr.com/tr/100-ucretsiz-fiyatlandirma
https://createmy-qr.com/tr/pricing
https://createmy-qr.com/uk/100-bezkoshtovni-cini
https://createmy-qr.com/uk/pricing
https://createmy-qr.com/vi/dinh-gia-mien-phi-100
https://createmy-qr.com/vi/pricing
https://createmy-qr.com/zh/100-mian-fei-ding-jie
https://createmy-qr.com/zh/pricing","404
200
200
404
200
404
200
404
200
404
200
404
200
404
200
404
404
200
200
404
200
404
200
404
200
404
404
200
200
404
200
404
200
404
200
404
200
404
200
200
200
404
200
404
200
404
200
404
404
200
200
404
200
404
200
404
200
404
200
404","More than one page is linked for the same language
Some pages are not returning 200 status code",4050633431449356809,116,171
22,https://createmy-qr.com/languages,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Supported Languages
types.languages QR Code Generator - Free & Custom | CreateMy-QR
Supported Languages | CreateMy-QR",text/html; charset=utf-8,false,200,0,true,"https://createmy-qr.com/ar/languages
https://createmy-qr.com/ar/llgt-lmdaawm
https://createmy-qr.com/bn/languages
https://createmy-qr.com/bn/smrthit-bhaassaasmuuh
https://createmy-qr.com/cs/languages
https://createmy-qr.com/cs/podporovane-jazyky
https://createmy-qr.com/da/languages
https://createmy-qr.com/da/understottede-sprog
https://createmy-qr.com/de/languages
https://createmy-qr.com/de/unterstutzte-sprachen
https://createmy-qr.com/el/languages
https://createmy-qr.com/el/ypostirizomenes-glosses
https://createmy-qr.com/es/idiomas-admitidos
https://createmy-qr.com/es/languages
https://createmy-qr.com/fi/languages
https://createmy-qr.com/fi/tuetut-kielet
https://createmy-qr.com/fr/languages
https://createmy-qr.com/fr/langues-prises-en-charge
https://createmy-qr.com/hi/languages
https://createmy-qr.com/hi/smrthit-bhaassaaen
https://createmy-qr.com/hu/languages
https://createmy-qr.com/hu/tamogatott-nyelvek
https://createmy-qr.com/id/bahasa-yang-didukung
https://createmy-qr.com/id/languages
https://createmy-qr.com/it/languages
https://createmy-qr.com/it/lingue-supportate
https://createmy-qr.com/ja/languages
https://createmy-qr.com/ja/sapotosareteiruyan-yu
https://createmy-qr.com/ko/jiweondoeneun-eoneo
https://createmy-qr.com/ko/languages
https://createmy-qr.com/languages
https://createmy-qr.com/languages
https://createmy-qr.com/ms/bahasa-yang-disokong
https://createmy-qr.com/ms/languages
https://createmy-qr.com/nl/languages
https://createmy-qr.com/nl/ondersteunde-talen
https://createmy-qr.com/no/languages
https://createmy-qr.com/no/stottede-sprak
https://createmy-qr.com/pl/languages
https://createmy-qr.com/pl/obslugiwane-jezyki
https://createmy-qr.com/pt/idiomas-suportados
https://createmy-qr.com/pt/languages
https://createmy-qr.com/ro/languages
https://createmy-qr.com/ro/limbi-acceptate
https://createmy-qr.com/ru/languages
https://createmy-qr.com/ru/podderzhivaemye-yazyki
https://createmy-qr.com/sv/languages
https://createmy-qr.com/sv/sprak-som-stods
https://createmy-qr.com/th/languages
https://createmy-qr.com/th/phaasaathiir-ngrab
https://createmy-qr.com/tl/languages
https://createmy-qr.com/tl/mga-sinusuportahang-wika
https://createmy-qr.com/tr/desteklenen-diller
https://createmy-qr.com/tr/languages
https://createmy-qr.com/uk/languages
https://createmy-qr.com/uk/pidtrimuvani-movi
https://createmy-qr.com/vi/languages
https://createmy-qr.com/vi/ngon-ngu-duoc-ho-tro
https://createmy-qr.com/zh/languages
https://createmy-qr.com/zh/zhi-chi-de-yu-yan","404
200
404
200
404
200
404
200
404
200
404
200
200
404
404
200
404
200
404
200
404
200
200
404
404
200
404
200
200
404
200
200
200
404
404
200
404
200
404
200
200
404
404
200
404
200
404
200
404
200
404
200
200
404
404
200
404
200
404
200","More than one page is linked for the same language
Some pages are not returning 200 status code",4666308490966704783,116,171
22,https://createmy-qr.com/security,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Security Architecture
types.security QR Code Generator - Free & Custom | CreateMy-QR
Security Architecture | CreateMy-QR",text/html; charset=utf-8,false,200,0,true,"https://createmy-qr.com/ar/laamr-l-mny
https://createmy-qr.com/ar/security
https://createmy-qr.com/bn/niraapttaa-aarkittekcaar
https://createmy-qr.com/bn/security
https://createmy-qr.com/cs/bezpecnostni-architektura
https://createmy-qr.com/cs/security
https://createmy-qr.com/da/security
https://createmy-qr.com/da/sikkerhedsarkitektur
https://createmy-qr.com/de/security
https://createmy-qr.com/de/sicherheitsarchitektur
https://createmy-qr.com/el/arhitektoniki-asfaleias
https://createmy-qr.com/el/security
https://createmy-qr.com/es/arquitectura-de-seguridad
https://createmy-qr.com/es/security
https://createmy-qr.com/fi/security
https://createmy-qr.com/fi/turvallisuusarkkitehtuuri
https://createmy-qr.com/fr/architecture-de-securite
https://createmy-qr.com/fr/security
https://createmy-qr.com/hi/security
https://createmy-qr.com/hi/surkssaa-vaastuklaa
https://createmy-qr.com/hu/biztonsagi-architektura
https://createmy-qr.com/hu/security
https://createmy-qr.com/id/arsitektur-keamanan
https://createmy-qr.com/id/security
https://createmy-qr.com/it/architettura-di-sicurezza
https://createmy-qr.com/it/security
https://createmy-qr.com/ja/security
https://createmy-qr.com/ja/sekiyuritei-akitekutiya
https://createmy-qr.com/ko/boan-akitegceo
https://createmy-qr.com/ko/security
https://createmy-qr.com/ms/security
https://createmy-qr.com/ms/seni-bina-keselamatan
https://createmy-qr.com/nl/beveiligingsarchitectuur
https://createmy-qr.com/nl/security
https://createmy-qr.com/no/security
https://createmy-qr.com/no/sikkerhetsarkitektur
https://createmy-qr.com/pl/architektura-bezpieczenstwa
https://createmy-qr.com/pl/security
https://createmy-qr.com/pt/arquitetura-de-seguranca
https://createmy-qr.com/pt/security
https://createmy-qr.com/ro/arhitectura-de-securitate
https://createmy-qr.com/ro/security
https://createmy-qr.com/ru/arhitektura-bezopasnosti
https://createmy-qr.com/ru/security
https://createmy-qr.com/security
https://createmy-qr.com/security
https://createmy-qr.com/sv/sakerhetsarkitektur
https://createmy-qr.com/sv/security
https://createmy-qr.com/th/security
https://createmy-qr.com/th/sthaapatykrrmkaarraksaakhwaampl-dphay
https://createmy-qr.com/tl/arkitektura-ng-seguridad
https://createmy-qr.com/tl/security
https://createmy-qr.com/tr/guvenlik-mimarisi
https://createmy-qr.com/tr/security
https://createmy-qr.com/uk/arhitektura-bezpeki
https://createmy-qr.com/uk/security
https://createmy-qr.com/vi/kien-truc-bao-mat
https://createmy-qr.com/vi/security
https://createmy-qr.com/zh/an-quan-jia-gou
https://createmy-qr.com/zh/security","200
404
200
404
200
404
404
200
404
200
200
404
200
404
404
200
200
404
404
200
200
404
200
404
200
404
404
200
200
404
404
200
200
404
404
200
200
404
200
404
200
404
200
404
200
200
200
404
404
200
200
404
200
404
200
404
200
404
200
404","More than one page is linked for the same language
Some pages are not returning 200 status code",15215968417849093107,116,171
21,https://createmy-qr.com/vcard-qr-code-for-real-estate-agents,"vCard QR Code for Real Estate Agents | CreateMy-QR
vCard QR Code for Real Estate Agents | CreateMy-QR",text/html; charset=utf-8,false,200,0,true,"https://createmy-qr.com/ar/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/bn/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/cs/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/cs/vcard-qr-kod-pro-realitni-maklere
https://createmy-qr.com/da/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/da/vcard-qr-kode-til-ejendomsmglere
https://createmy-qr.com/de/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/de/vcard-qr-code-fur-immobilienmakler
https://createmy-qr.com/el/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/es/codigo-qr-vcard-para-agentes-inmobiliarios
https://createmy-qr.com/es/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/fi/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/fi/vcard-qr-koodi-kiinteistonvalittajille
https://createmy-qr.com/fr/code-qr-vcard-pour-les-agents-immobiliers
https://createmy-qr.com/fr/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/hi/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/hu/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/hu/vcard-qr-kod-ingatlanugynokok-szamara
https://createmy-qr.com/id/kode-qr-vcard-untuk-agen-real-estat
https://createmy-qr.com/id/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/it/codice-qr-vcard-per-agenti-immobiliari
https://createmy-qr.com/it/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/ja/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/ko/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/ms/kod-qr-vcard-untuk-ejen-hartanah
https://createmy-qr.com/ms/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/nl/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/nl/vcard-qr-code-voor-makelaars-in-onroerend-goed
https://createmy-qr.com/no/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/no/vcard-qr-kode-for-eiendomsmeglere
https://createmy-qr.com/pl/kod-qr-vcard-dla-agentow-nieruchomosci
https://createmy-qr.com/pl/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/pt/codigo-qr-vcard-para-agentes-imobiliarios
https://createmy-qr.com/pt/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/ro/cod-qr-vcard-pentru-agentii-imobiliari
https://createmy-qr.com/ro/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/ru/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/sv/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/sv/vcard-qr-kod-for-fastighetsmaklare
https://createmy-qr.com/th/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/tl/tl-vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/tr/emlakclar-icin-vcard-qr-kodu
https://createmy-qr.com/tr/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/uk/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/vi/ma-qr-vcard-danh-cho-ai-ly-bat-ong-san
https://createmy-qr.com/vi/vcard-qr-code-for-real-estate-agents
https://createmy-qr.com/zh/vcard-qr-code-for-real-estate-agents","200
200
404
200
404
200
404
200
200
200
404
404
200
200
404
200
404
200
200
404
200
404
200
200
200
404
404
200
404
200
200
404
200
404
200
404
200
404
200
200
200
200
404
200
200
200
200
404
200","More than one page is linked for the same language
Some pages are not returning 200 status code",11523805242627411204,58,58
21,https://createmy-qr.com/vi/,"CreateMy-QR | Tất cả QR & Mã vạch Công cụ ở một nơi
CreateMy-QR | Tất cả QR & Mã vạch Công cụ ở một nơi
home - Tạo Mã QR Miễn Phí Trực Tuyến - CreateMy-QR",text/html; charset=utf-8,false,200,0,true,"https://createmy-qr.com/
https://createmy-qr.com/
https://createmy-qr.com/ar
https://createmy-qr.com/ar/
https://createmy-qr.com/bn
https://createmy-qr.com/bn/
https://createmy-qr.com/cs
https://createmy-qr.com/cs/
https://createmy-qr.com/da
https://createmy-qr.com/da/
https://createmy-qr.com/de
https://createmy-qr.com/de/
https://createmy-qr.com/el
https://createmy-qr.com/el/
https://createmy-qr.com/es
https://createmy-qr.com/es/
https://createmy-qr.com/fi
https://createmy-qr.com/fi/
https://createmy-qr.com/fr
https://createmy-qr.com/fr/
https://createmy-qr.com/hi
https://createmy-qr.com/hi/
https://createmy-qr.com/hu
https://createmy-qr.com/hu/
https://createmy-qr.com/id
https://createmy-qr.com/id/
https://createmy-qr.com/it
https://createmy-qr.com/it/
https://createmy-qr.com/ja
https://createmy-qr.com/ja/
https://createmy-qr.com/ko
https://createmy-qr.com/ko/
https://createmy-qr.com/ms
https://createmy-qr.com/ms/
https://createmy-qr.com/nl
https://createmy-qr.com/nl/
https://createmy-qr.com/no
https://createmy-qr.com/no/
https://createmy-qr.com/pl
https://createmy-qr.com/pl/
https://createmy-qr.com/pt
https://createmy-qr.com/pt/
https://createmy-qr.com/ro
https://createmy-qr.com/ro/
https://createmy-qr.com/ru
https://createmy-qr.com/ru/
https://createmy-qr.com/sv
https://createmy-qr.com/sv/
https://createmy-qr.com/th
https://createmy-qr.com/th/
https://createmy-qr.com/tl
https://createmy-qr.com/tl/
https://createmy-qr.com/tr
https://createmy-qr.com/tr/
https://createmy-qr.com/uk
https://createmy-qr.com/uk/
https://createmy-qr.com/vi
https://createmy-qr.com/vi/
https://createmy-qr.com/zh
https://createmy-qr.com/zh/","200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200","More than one page is linked for the same language
Some pages are not canonical",9398183722245809430,58,59
21,https://createmy-qr.com/hi/,"CreateMy-QR | सभी क्यूआर और बारकोड एक ही स्थान पर उपकरण
CreateMy-QR | सभी क्यूआर और बारकोड एक ही स्थान पर उपकरण
home - मुफ़्त ऑनलाइन क्यूआर कोड जनरेटर - CreateMy-QR",text/html; charset=utf-8,false,200,0,true,"https://createmy-qr.com/
https://createmy-qr.com/
https://createmy-qr.com/ar
https://createmy-qr.com/ar/
https://createmy-qr.com/bn
https://createmy-qr.com/bn/
https://createmy-qr.com/cs
https://createmy-qr.com/cs/
https://createmy-qr.com/da
https://createmy-qr.com/da/
https://createmy-qr.com/de
https://createmy-qr.com/de/
https://createmy-qr.com/el
https://createmy-qr.com/el/
https://createmy-qr.com/es
https://createmy-qr.com/es/
https://createmy-qr.com/fi
https://createmy-qr.com/fi/
https://createmy-qr.com/fr
https://createmy-qr.com/fr/
https://createmy-qr.com/hi
https://createmy-qr.com/hi/
https://createmy-qr.com/hu
https://createmy-qr.com/hu/
https://createmy-qr.com/id
https://createmy-qr.com/id/
https://createmy-qr.com/it
https://createmy-qr.com/it/
https://createmy-qr.com/ja
https://createmy-qr.com/ja/
https://createmy-qr.com/ko
https://createmy-qr.com/ko/
https://createmy-qr.com/ms
https://createmy-qr.com/ms/
https://createmy-qr.com/nl
https://createmy-qr.com/nl/
https://createmy-qr.com/no
https://createmy-qr.com/no/
https://createmy-qr.com/pl
https://createmy-qr.com/pl/
https://createmy-qr.com/pt
https://createmy-qr.com/pt/
https://createmy-qr.com/ro
https://createmy-qr.com/ro/
https://createmy-qr.com/ru
https://createmy-qr.com/ru/
https://createmy-qr.com/sv
https://createmy-qr.com/sv/
https://createmy-qr.com/th
https://createmy-qr.com/th/
https://createmy-qr.com/tl
https://createmy-qr.com/tl/
https://createmy-qr.com/tr
https://createmy-qr.com/tr/
https://createmy-qr.com/uk
https://createmy-qr.com/uk/
https://createmy-qr.com/vi
https://createmy-qr.com/vi/
https://createmy-qr.com/zh
https://createmy-qr.com/zh/","200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200","More than one page is linked for the same language
Some pages are not canonical",9398183722245809430,58,59
21,https://createmy-qr.com/ko/,"CreateMy-QR | 모든 QR 코드 & 바코드 도구를 한 곳에서
CreateMy-QR | 모든 QR 코드 & 바코드 도구를 한 곳에서
home - 무료 온라인 QR 코드 생성기 - CreateMy-QR",text/html; charset=utf-8,false,200,0,true,"https://createmy-qr.com/
https://createmy-qr.com/
https://createmy-qr.com/ar
https://createmy-qr.com/ar/
https://createmy-qr.com/bn
https://createmy-qr.com/bn/
https://createmy-qr.com/cs
https://createmy-qr.com/cs/
https://createmy-qr.com/da
https://createmy-qr.com/da/
https://createmy-qr.com/de
https://createmy-qr.com/de/
https://createmy-qr.com/el
https://createmy-qr.com/el/
https://createmy-qr.com/es
https://createmy-qr.com/es/
https://createmy-qr.com/fi
https://createmy-qr.com/fi/
https://createmy-qr.com/fr
https://createmy-qr.com/fr/
https://createmy-qr.com/hi
https://createmy-qr.com/hi/
https://createmy-qr.com/hu
https://createmy-qr.com/hu/
https://createmy-qr.com/id
https://createmy-qr.com/id/
https://createmy-qr.com/it
https://createmy-qr.com/it/
https://createmy-qr.com/ja
https://createmy-qr.com/ja/
https://createmy-qr.com/ko
https://createmy-qr.com/ko/
https://createmy-qr.com/ms
https://createmy-qr.com/ms/
https://createmy-qr.com/nl
https://createmy-qr.com/nl/
https://createmy-qr.com/no
https://createmy-qr.com/no/
https://createmy-qr.com/pl
https://createmy-qr.com/pl/
https://createmy-qr.com/pt
https://createmy-qr.com/pt/
https://createmy-qr.com/ro
https://createmy-qr.com/ro/
https://createmy-qr.com/ru
https://createmy-qr.com/ru/
https://createmy-qr.com/sv
https://createmy-qr.com/sv/
https://createmy-qr.com/th
https://createmy-qr.com/th/
https://createmy-qr.com/tl
https://createmy-qr.com/tl/
https://createmy-qr.com/tr
https://createmy-qr.com/tr/
https://createmy-qr.com/uk
https://createmy-qr.com/uk/
https://createmy-qr.com/vi
https://createmy-qr.com/vi/
https://createmy-qr.com/zh
https://createmy-qr.com/zh/","200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200","More than one page is linked for the same language
Some pages are not canonical",9398183722245809430,58,59
21,https://createmy-qr.com/es/,"CreateMy-QR | Todas las Herramientas QR y Barras en un Solo Lugar
CreateMy-QR | Todas las Herramientas QR y Barras en un Solo Lugar
home - Generador de Códigos QR Gratis Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,true,"https://createmy-qr.com/
https://createmy-qr.com/
https://createmy-qr.com/ar
https://createmy-qr.com/ar/
https://createmy-qr.com/bn
https://createmy-qr.com/bn/
https://createmy-qr.com/cs
https://createmy-qr.com/cs/
https://createmy-qr.com/da
https://createmy-qr.com/da/
https://createmy-qr.com/de
https://createmy-qr.com/de/
https://createmy-qr.com/el
https://createmy-qr.com/el/
https://createmy-qr.com/es
https://createmy-qr.com/es/
https://createmy-qr.com/fi
https://createmy-qr.com/fi/
https://createmy-qr.com/fr
https://createmy-qr.com/fr/
https://createmy-qr.com/hi
https://createmy-qr.com/hi/
https://createmy-qr.com/hu
https://createmy-qr.com/hu/
https://createmy-qr.com/id
https://createmy-qr.com/id/
https://createmy-qr.com/it
https://createmy-qr.com/it/
https://createmy-qr.com/ja
https://createmy-qr.com/ja/
https://createmy-qr.com/ko
https://createmy-qr.com/ko/
https://createmy-qr.com/ms
https://createmy-qr.com/ms/
https://createmy-qr.com/nl
https://createmy-qr.com/nl/
https://createmy-qr.com/no
https://createmy-qr.com/no/
https://createmy-qr.com/pl
https://createmy-qr.com/pl/
https://createmy-qr.com/pt
https://createmy-qr.com/pt/
https://createmy-qr.com/ro
https://createmy-qr.com/ro/
https://createmy-qr.com/ru
https://createmy-qr.com/ru/
https://createmy-qr.com/sv
https://createmy-qr.com/sv/
https://createmy-qr.com/th
https://createmy-qr.com/th/
https://createmy-qr.com/tl
https://createmy-qr.com/tl/
https://createmy-qr.com/tr
https://createmy-qr.com/tr/
https://createmy-qr.com/uk
https://createmy-qr.com/uk/
https://createmy-qr.com/vi
https://createmy-qr.com/vi/
https://createmy-qr.com/zh
https://createmy-qr.com/zh/","200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200","More than one page is linked for the same language
Some pages are not canonical",9398183722245809430,58,59
21,https://createmy-qr.com/hu/,"CreateMy-QR | Minden QR és vonalkód Eszközök egy helyen
CreateMy-QR | Minden QR és vonalkód Eszközök egy helyen
home - Ingyenes Online QR-kód Generátor - CreateMy-QR",text/html; charset=utf-8,false,200,0,true,"https://createmy-qr.com/
https://createmy-qr.com/
https://createmy-qr.com/ar
https://createmy-qr.com/ar/
https://createmy-qr.com/bn
https://createmy-qr.com/bn/
https://createmy-qr.com/cs
https://createmy-qr.com/cs/
https://createmy-qr.com/da
https://createmy-qr.com/da/
https://createmy-qr.com/de
https://createmy-qr.com/de/
https://createmy-qr.com/el
https://createmy-qr.com/el/
https://createmy-qr.com/es
https://createmy-qr.com/es/
https://createmy-qr.com/fi
https://createmy-qr.com/fi/
https://createmy-qr.com/fr
https://createmy-qr.com/fr/
https://createmy-qr.com/hi
https://createmy-qr.com/hi/
https://createmy-qr.com/hu
https://createmy-qr.com/hu/
https://createmy-qr.com/id
https://createmy-qr.com/id/
https://createmy-qr.com/it
https://createmy-qr.com/it/
https://createmy-qr.com/ja
https://createmy-qr.com/ja/
https://createmy-qr.com/ko
https://createmy-qr.com/ko/
https://createmy-qr.com/ms
https://createmy-qr.com/ms/
https://createmy-qr.com/nl
https://createmy-qr.com/nl/
https://createmy-qr.com/no
https://createmy-qr.com/no/
https://createmy-qr.com/pl
https://createmy-qr.com/pl/
https://createmy-qr.com/pt
https://createmy-qr.com/pt/
https://createmy-qr.com/ro
https://createmy-qr.com/ro/
https://createmy-qr.com/ru
https://createmy-qr.com/ru/
https://createmy-qr.com/sv
https://createmy-qr.com/sv/
https://createmy-qr.com/th
https://createmy-qr.com/th/
https://createmy-qr.com/tl
https://createmy-qr.com/tl/
https://createmy-qr.com/tr
https://createmy-qr.com/tr/
https://createmy-qr.com/uk
https://createmy-qr.com/uk/
https://createmy-qr.com/vi
https://createmy-qr.com/vi/
https://createmy-qr.com/zh
https://createmy-qr.com/zh/","200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200","More than one page is linked for the same language
Some pages are not canonical",9398183722245809430,58,59
21,https://createmy-qr.com/pt/,"CreateMy-QR | Todas as Ferramentas QR & Código de Barras em Um Só Lugar
CreateMy-QR | Todas as Ferramentas QR & Código de Barras em Um Só Lugar
home - Gerador de Código QR Grátis Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,true,"https://createmy-qr.com/
https://createmy-qr.com/
https://createmy-qr.com/ar
https://createmy-qr.com/ar/
https://createmy-qr.com/bn
https://createmy-qr.com/bn/
https://createmy-qr.com/cs
https://createmy-qr.com/cs/
https://createmy-qr.com/da
https://createmy-qr.com/da/
https://createmy-qr.com/de
https://createmy-qr.com/de/
https://createmy-qr.com/el
https://createmy-qr.com/el/
https://createmy-qr.com/es
https://createmy-qr.com/es/
https://createmy-qr.com/fi
https://createmy-qr.com/fi/
https://createmy-qr.com/fr
https://createmy-qr.com/fr/
https://createmy-qr.com/hi
https://createmy-qr.com/hi/
https://createmy-qr.com/hu
https://createmy-qr.com/hu/
https://createmy-qr.com/id
https://createmy-qr.com/id/
https://createmy-qr.com/it
https://createmy-qr.com/it/
https://createmy-qr.com/ja
https://createmy-qr.com/ja/
https://createmy-qr.com/ko
https://createmy-qr.com/ko/
https://createmy-qr.com/ms
https://createmy-qr.com/ms/
https://createmy-qr.com/nl
https://createmy-qr.com/nl/
https://createmy-qr.com/no
https://createmy-qr.com/no/
https://createmy-qr.com/pl
https://createmy-qr.com/pl/
https://createmy-qr.com/pt
https://createmy-qr.com/pt/
https://createmy-qr.com/ro
https://createmy-qr.com/ro/
https://createmy-qr.com/ru
https://createmy-qr.com/ru/
https://createmy-qr.com/sv
https://createmy-qr.com/sv/
https://createmy-qr.com/th
https://createmy-qr.com/th/
https://createmy-qr.com/tl
https://createmy-qr.com/tl/
https://createmy-qr.com/tr
https://createmy-qr.com/tr/
https://createmy-qr.com/uk
https://createmy-qr.com/uk/
https://createmy-qr.com/vi
https://createmy-qr.com/vi/
https://createmy-qr.com/zh
https://createmy-qr.com/zh/","200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200","More than one page is linked for the same language
Some pages are not canonical",9398183722245809430,58,59
