PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Internal outlinks to 4xx,Internal outlinks codes (4xx),No. of internal outlinks to 4xx,External outlinks to 4xx,External outlinks codes (4xx),No. of external outlinks to 4xx
22,https://createmy-qr.com/languages,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Supported Languages
types.languages QR Code Generator - Free & Custom | CreateMy-QR
Supported Languages | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/fr/langues-prises-en-charge,"Générateur de Code QR Gratuit en Ligne - CreateMy-QR (No Signup) | Langues prises en charge
Générateur de code QR types.languages - Gratuit et personnalisé | CreateMy-QR
Langues prises en charge | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/sv/sprak-som-stods,"Gratis QR-kod Generator Online - CreateMy-QR (No Signup) | Språk som stöds
types.languages QR Code Generator - Gratis & anpassad | CreateMy-QR
Språk som stöds | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/it/lingue-supportate,"Generatore di Codici QR Gratis Online - CreateMy-QR (No Signup) | Lingue supportate
Generatore di codici QR types.languages - Gratuito e personalizzato | CreateMy-QR
Lingue supportate | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/es/idiomas-admitidos,"Generador de Códigos QR Gratis Online - CreateMy-QR (No Signup) | Idiomas admitidos
Generador de códigos QR types.languages: gratuito y personalizado | CreateMy-QR
Idiomas admitidos | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/tl/mga-sinusuportahang-wika,"Libreng Online QR Code Generator - CreateMy-QR (No Signup) | Mga Sinusuportahang Wika
types.languages QR Code Generator - Libre at Custom | CreateMy-QR
Mga Sinusuportahang Wika | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/tr/desteklenen-diller,"Ücretsiz Çevrimiçi QR Kod Oluşturucu - CreateMy-QR (No Signup) | Desteklenen Diller
types.languages QR Kod Oluşturucu - Ücretsiz ve Özel | CreateMy-QR
Desteklenen Diller | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/ro/limbi-acceptate,"Generator de Coduri QR Gratuit Online - CreateMy-QR (No Signup) | Limbi acceptate
types.languages QR Code Generator - Gratuit și personalizat | CreateMy-QR
Limbi acceptate | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/ar/llgt-lmdaawm,"مولد رمز الاستجابة السريعة مجاني - CreateMy-QR (No Signup) | اللغات المدعومة
types.languages QR Code Generator - مجاني ومخصص | CreateMy-QR
اللغات المدعومة | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/vi/ngon-ngu-duoc-ho-tro,"Tạo Mã QR Miễn Phí Trực Tuyến - CreateMy-QR (No Signup) | Ngôn ngữ được hỗ trợ
Trình tạo mã QR types.languages - Miễn phí & Tùy chỉnh | CreateMy-QR
Ngôn ngữ được hỗ trợ | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/da/understottede-sprog,"Gratis QR Kode Generator Online - CreateMy-QR (No Signup) | Understøttede sprog
types.languages QR Code Generator - Gratis og brugerdefineret | CreateMy-QR
Understøttede sprog | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/pt/idiomas-suportados,"Gerador de Código QR Grátis Online - CreateMy-QR (No Signup) | Idiomas Suportados
Gerador de código QR types.languages - gratuito e personalizado | CreateMy-QR
Idiomas Suportados | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/ms/bahasa-yang-disokong,"Penjana Kod QR Percuma Dalam Talian - CreateMy-QR (No Signup) | Bahasa yang Disokong
Penjana Kod QR types.languages - Percuma & Tersuai | CreateMy-QR
Bahasa yang Disokong | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/th/phaasaathiir-ngrab,"เครื่องมือสร้างคิวอาร์โค้ดออนไลน์ฟรี - CreateMy-QR (No Signup) | ภาษาที่รองรับ
types.languages เครื่องสร้างโค้ด QR - ฟรีและกำหนดเอง | CreateMy-QR
ภาษาที่รองรับ | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/bn/smrthit-bhaassaasmuuh,"ফ্রি অনলাইন কিউআর কোড জেনারেটর - CreateMy-QR (No Signup) | সমর্থিত ভাষাসমূহ
types.languages QR কোড জেনারেটর - বিনামূল্যে এবং কাস্টম | CreateMy-QR
সমর্থিত ভাষাসমূহ | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/de/unterstutzte-sprachen,"Kostenloser QR-Code Generator Online - CreateMy-QR (No Signup) | Unterstützte Sprachen
types.languages QR-Code-Generator – kostenlos und benutzerdefiniert | CreateMy-QR
Unterstützte Sprachen | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/uk/pidtrimuvani-movi,"Безкоштовний Генератор QR-кодів Онлайн - CreateMy-QR (No Signup) | Підтримувані мови
Генератор QR-коду types.languages – безкоштовний і користувацький | CreateMy-QR
Підтримувані мови | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/no/stottede-sprak,"Gratis QR-kode Generator Online - CreateMy-QR (No Signup) | Støttede språk
types.languages QR Code Generator - Gratis og tilpasset | CreateMy-QR
Støttede språk | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/cs/podporovane-jazyky,"Zdarma Online Generátor QR Kódů - CreateMy-QR (No Signup) | Podporované jazyky
types.languages generátor QR kódu – zdarma a na míru | CreateMy-QR
Podporované jazyky | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/ko/jiweondoeneun-eoneo,"무료 온라인 QR 코드 생성기 - CreateMy-QR (No Signup) | 지원되는 언어
types.languages QR 코드 생성기 - 무료 및 사용자 정의 | CreateMy-QR
지원되는 언어 | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/nl/ondersteunde-talen,"Gratis QR Code Generator Online - CreateMy-QR (No Signup) | Ondersteunde talen
types.languages QR-codegenerator - gratis en aangepast | CreateMy-QR
Ondersteunde talen | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/pl/obslugiwane-jezyki,"Darmowy Generator Kodów QR Online - CreateMy-QR (No Signup) | Obsługiwane języki
Generator kodów QR types.languages — bezpłatny i niestandardowy | CreateMy-QR
Obsługiwane języki | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/el/ypostirizomenes-glosses,"Δωρεάν Δημιουργία QR Code Online - CreateMy-QR (No Signup) | Υποστηριζόμενες γλώσσες
types.languages QR Code Generator - Δωρεάν & Προσαρμοσμένο | CreateMy-QR
Υποστηριζόμενες γλώσσες | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/hu/tamogatott-nyelvek,"Ingyenes Online QR-kód Generátor - CreateMy-QR (No Signup) | Támogatott nyelvek
types.languages QR-kód generátor - ingyenes és egyedi | CreateMy-QR
Támogatott nyelvek | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/ru/podderzhivaemye-yazyki,"Бесплатный генератор QR-кодов онлайн - CreateMy-QR (No Signup) | Поддерживаемые языки
