PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Title patch,Title patch status,Title length,No. of titles,Is indexable page
22,https://createmy-qr.com/compare,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Compare Tools
types.compare QR Code Generator - Free & Custom | CreateMy-QR
Compare Plans - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"71
61
27",3,true
22,https://createmy-qr.com/pricing,"Free QR Code Generator Online - CreateMy-QR (No Signup) | 100% Free Pricing
types.pricing QR Code Generator - Free & Custom | CreateMy-QR
100% Free Pricing | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"75
61
31",3,true
22,https://createmy-qr.com/languages,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Supported Languages
types.languages QR Code Generator - Free & Custom | CreateMy-QR
Supported Languages | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"77
63
33",3,true
22,https://createmy-qr.com/privacy,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Privacy Policy
types.privacy QR Code Generator - Free & Custom | CreateMy-QR
Privacy Policy - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"72
61
28",3,true
22,https://createmy-qr.com/terms,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Terms of Service
types.terms QR Code Generator - Free & Custom | CreateMy-QR
Terms of Service - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"74
59
30",3,true
22,https://createmy-qr.com/security,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Security Architecture
types.security QR Code Generator - Free & Custom | CreateMy-QR
Security Architecture | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"79
62
35",3,true
21,https://createmy-qr.com/fi/tietosuojakaytanto,"Ilmainen QR-koodigeneraattori Netissä - CreateMy-QR (No Signup) | Tietosuojakäytäntö
types.privacy QR-koodigeneraattori - ilmainen ja räätälöity | CreateMy-QR
Tietosuojakäytäntö | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"84
73
32",3,true
21,https://createmy-qr.com/it/app-store-generatore-di-codici-qr-gratis-online,"Generatore di codici QR App Store - Gratuito e personalizzato | CreateMy-QR
App Store - Generatore di Codici QR Gratis Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"75
63",2,true
21,https://createmy-qr.com/fr/reservation-generateur-de-code-qr-gratuit-en-ligne,"Générateur de code QR Réservation - Gratuit et personnalisé | CreateMy-QR
Réservation - Générateur de Code QR Gratuit en Ligne - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"73
66",2,true
21,https://createmy-qr.com/pl/polityka-prywatnosci,"Darmowy Generator Kodów QR Online - CreateMy-QR (No Signup) | Polityka prywatności
Generator kodów QR types.privacy — bezpłatny i niestandardowy | CreateMy-QR
Polityka prywatności | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"82
75
34",3,true
21,https://createmy-qr.com/de/telegram-kostenloser-qr-code-generator-online,"Telegramm QR-Code-Generator – kostenlos und benutzerdefiniert | CreateMy-QR
Telegramm - Kostenloser QR-Code Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"75
62",2,true
21,https://createmy-qr.com/de/google-review-kostenloser-qr-code-generator-online,"Google-Rezension QR-Code-Generator – kostenlos und benutzerdefiniert | CreateMy-QR
Google-Rezension - Kostenloser QR-Code Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"82
69",2,true
21,https://createmy-qr.com/de/ereignis-kostenloser-qr-code-generator-online,"Ereignis QR-Code-Generator – kostenlos und benutzerdefiniert | CreateMy-QR
Ereignis - Kostenloser QR-Code Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"74
61",2,true
21,https://createmy-qr.com/it/lettore-di-codici-a-barre-generatore-di-codici-qr-gratis-online,"Scanner di codici a barre online gratuito: scansiona UPC e EAN
Generatore di codici QR Lettore di codici a barre - Gratuito e personalizzato | CreateMy-QR
Lettore di codici a barre - Generatore di Codici QR Gratis Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"62
91
79",3,true
21,https://createmy-qr.com/da/gratis-qr-kode-generator-online-2,"Gratis QR-kodescanner online - Scan QR øjeblikkeligt
types.scanqr QR Code Generator - Gratis og brugerdefineret | CreateMy-QR
scanqr - Gratis QR Kode Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"52
72
54",3,true
21,https://createmy-qr.com/pt/politica-de-privacidade,"Gerador de Código QR Grátis Online - CreateMy-QR (No Signup) | Política de Privacidade
Gerador de código QR types.privacy - gratuito e personalizado | CreateMy-QR
Política de Privacidade | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"86
75
37",3,true
21,https://createmy-qr.com/tr/100-ucretsiz-fiyatlandirma,"Ücretsiz Çevrimiçi QR Kod Oluşturucu - CreateMy-QR (No Signup) | %100 Ücretsiz Fiyatlandırma
types.pricing QR Kod Oluşturucu - Ücretsiz ve Özel | CreateMy-QR
%100 Ücretsiz Fiyatlandırma | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"92
64
41",3,true
21,https://createmy-qr.com/de/kostenloser-qr-code-generator-online-2,"Kostenloser QR-Code-Scanner online – QR sofort scannen
types.scanqr QR-Code-Generator – kostenlos und benutzerdefiniert | CreateMy-QR
scanqr - Kostenloser QR-Code Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"54
78
59",3,true
21,https://createmy-qr.com/fr/politique-de-confidentialite,"Générateur de Code QR Gratuit en Ligne - CreateMy-QR (No Signup) | Politique de confidentialité
Générateur de code QR types.privacy - Gratuit et personnalisé | CreateMy-QR
Politique de confidentialité | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"95
75
42",3,true
21,https://createmy-qr.com/it/discord-generatore-di-codici-qr-gratis-online,"Generatore di codici QR Discordia - Gratuito e personalizzato | CreateMy-QR
Discordia - Generatore di Codici QR Gratis Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"75
63",2,true
21,https://createmy-qr.com/fr/x-twitter-generateur-de-code-qr-gratuit-en-ligne,"Générateur de code QR X (Twitter) - Gratuit et personnalisé | CreateMy-QR
X (Twitter) - Générateur de Code QR Gratuit en Ligne - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"73
66",2,true
21,https://createmy-qr.com/de/standort-kostenloser-qr-code-generator-online,"Standort QR-Code-Generator – kostenlos und benutzerdefiniert | CreateMy-QR
Standort - Kostenloser QR-Code Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"74
61",2,true
21,https://createmy-qr.com/ro/termeni-si-conditii,"Generator de Coduri QR Gratuit Online - CreateMy-QR (No Signup) | Termeni și condiții
types.terms QR Code Generator - Gratuit și personalizat | CreateMy-QR
Termeni și condiții | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"85
69
33",3,true
21,https://createmy-qr.com/uk/url-link-bezkoshtovniy-generator-qr-kodiv-onlayn,"Безкоштовний Генератор QR-кодів Онлайн - CreateMy-QR (No Signup) | CreateMy-QR
Безкоштовний Генератор QR-кодів Онлайн - CreateMy-QR (No Signup)",text/html; charset=utf-8,false,200,0,0,,,"78
64",2,true
21,https://createmy-qr.com/vi/dieu-khoan-dich-vu,"Tạo Mã QR Miễn Phí Trực Tuyến - CreateMy-QR (No Signup) | Điều khoản dịch vụ
Trình tạo mã QR types.terms - Miễn phí & Tùy chỉnh | CreateMy-QR
Điều khoản dịch vụ | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"76
64
32",3,true
