PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Meta description,Meta description patch,Meta description patch status,Meta description length,No. of meta descriptions,Is indexable page
21,https://createmy-qr.com/fi/tietosuojakaytanto,Tietosuojakäytäntö | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,Zero-tracking privacy policy. All data processing occurs locally in your browser memory.,,,88,1,true
21,https://createmy-qr.com/pl/polityka-prywatnosci,Polityka prywatności | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,Zero-tracking privacy policy. All data processing occurs locally in your browser memory.,,,88,1,true
21,https://createmy-qr.com/pt/politica-de-privacidade,Política de Privacidade | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,Zero-tracking privacy policy. All data processing occurs locally in your browser memory.,,,88,1,true
21,https://createmy-qr.com/tr/100-ucretsiz-fiyatlandirma,%100 Ücretsiz Fiyatlandırma | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,"CreateMy-QR is 100% free with unlimited scans, high-resolution vector downloads, and zero limits.",,,97,1,true
21,https://createmy-qr.com/fr/politique-de-confidentialite,Politique de confidentialité | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,Zero-tracking privacy policy. All data processing occurs locally in your browser memory.,,,88,1,true
21,https://createmy-qr.com/ro/termeni-si-conditii,Termeni și condiții | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,Terms and conditions for using CreateMy-QR free online generator and scanner tools.,,,83,1,true
21,https://createmy-qr.com/vi/dieu-khoan-dich-vu,Điều khoản dịch vụ | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,Terms and conditions for using CreateMy-QR free online generator and scanner tools.,,,83,1,true
21,https://createmy-qr.com/ms/syarat-perkhidmatan,Syarat Perkhidmatan | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,Terms and conditions for using CreateMy-QR free online generator and scanner tools.,,,83,1,true
21,https://createmy-qr.com/vi/chinh-sach-bao-mat,Chính sách bảo mật | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,Zero-tracking privacy policy. All data processing occurs locally in your browser memory.,,,88,1,true
21,https://createmy-qr.com/uk/100-bezkoshtovni-cini,100% безкоштовні ціни | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,"CreateMy-QR is 100% free with unlimited scans, high-resolution vector downloads, and zero limits.",,,97,1,true
21,https://createmy-qr.com/it/chi-siamo,Chi siamo | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,Democratizing document and QR tools with 100% client-side security and privacy.,,,79,1,true
21,https://createmy-qr.com/no/personvernerklaering,Personvernerklæring | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,Zero-tracking privacy policy. All data processing occurs locally in your browser memory.,,,88,1,true
21,https://createmy-qr.com/about,About Us | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,Democratizing document and QR tools with 100% client-side security and privacy.,,,79,1,true
21,https://createmy-qr.com/cs/zasady-ochrany-osobnich-udaju,Zásady ochrany osobních údajů | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,Zero-tracking privacy policy. All data processing occurs locally in your browser memory.,,,88,1,true
21,https://createmy-qr.com/th/ekiiywkaberaa,เกี่ยวกับเรา | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,Democratizing document and QR tools with 100% client-side security and privacy.,,,79,1,true
