PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Internal outlinks to 4xx,Internal outlinks codes (4xx),No. of internal outlinks to 4xx,External outlinks to 4xx,External outlinks codes (4xx),No. of external outlinks to 4xx
21,https://createmy-qr.com/fr/langues-prises-en-charge,Langues prises en charge | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/sv/sprak-som-stods,Språk som stöds | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/it/lingue-supportate,Lingue supportate | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/es/idiomas-admitidos,Idiomas admitidos | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/tl/mga-sinusuportahang-wika,Mga Sinusuportahang Wika | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/tr/desteklenen-diller,Desteklenen Diller | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/languages,Supported Languages | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/ro/limbi-acceptate,Limbi acceptate | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/ar/llgt-lmdaawm,اللغات المدعومة | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/vi/ngon-ngu-duoc-ho-tro,Ngôn ngữ được hỗ trợ | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/da/understottede-sprog,Understøttede sprog | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/pt/idiomas-suportados,Idiomas Suportados | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/ms/bahasa-yang-disokong,Bahasa yang Disokong | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/th/phaasaathiir-ngrab,ภาษาที่รองรับ | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/bn/smrthit-bhaassaasmuuh,সমর্থিত ভাষাসমূহ | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/de/unterstutzte-sprachen,Unterstützte Sprachen | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/uk/pidtrimuvani-movi,Підтримувані мови | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/no/stottede-sprak,Støttede språk | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/cs/podporovane-jazyky,Podporované jazyky | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/ko/jiweondoeneun-eoneo,지원되는 언어 | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/nl/ondersteunde-talen,Ondersteunde talen | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/pl/obslugiwane-jezyki,Obsługiwane języki | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/el/ypostirizomenes-glosses,Υποστηριζόμενες γλώσσες | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/hu/tamogatott-nyelvek,Támogatott nyelvek | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/ru/podderzhivaemye-yazyki,Поддерживаемые языки | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/id/bahasa-yang-didukung,Bahasa yang Didukung | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/ja/sapotosareteiruyan-yu,サポートされている言語 | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/fi/tuetut-kielet,Tuetut kielet | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/hi/smrthit-bhaassaaen,समर्थित भाषाएँ | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/zh/zhi-chi-de-yu-yan,支持的语言 | CreateMy-QR,text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
